height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
251;24869600;24970900;21943600;21768000;21649700;21219400;21500200;23279000;22924900;24512400;22666200;21966800;21962000;21377600;21128200;20863500;20697400;20638800;21287700;20379600;20612900;20385600;20443700;20713500;21720300
257;27115600;27190000;27278800;27647600;32486700;29663200;27425300;35025300;28839700;27561200;27051100;27073900;28647100;26608300;26836400;27126100;27110600;34418800;29097300;29472500;26586000;26663500;30614900;28601400;29548900
261;25981000;25383400;24714900;24420800;24282100;23893200;24387300;24221300;28508300;25370400;26814600;24942800;24350800;24403400;23976800;25387600;27054100;25236600;24985100;26768400;25003500;24452400;24073300;24264800;24092300
267;28320100;28148100;28129600;28388600;28508100;36041500;30528000;38581700;31536400;35179400;30339900;28791000;32233100;29414100;28469200;27959000;27672300;27856300;27983700;28012700;28087900;30772700;28309700;28190800;29231300
271;18293200;18079800;21244000;18736600;18862200;18423400;18185200;18281600;18135100;18069200;19063800;22579900;19031200;18495500;18398300;19659300;20326800;18757400;18722800;18678300;19719100;22433900;18635700;18476400;18642200
277;31371600;30798900;34369200;31692300;35971600;31643500;36686800;32083500;32225800;34869300;31600600;30595000;32293600;30412200;30464500;30410200;30231100;34054600;32865200;33518200;32160500;31608200;30969200;30537200;30905000
281;34641000;32566500;33158800;43632400;36825100;39188500;37821800;37239100;34119400;36430400;34168800;33723800;33920000;32655500;33412400;32810200;32739700;35817200;32416800;32856000;32837300;33743900;36318100;34130600;33475000
287;32704500;32395900;31370500;31563800;31441500;35006900;34466900;36240800;33355600;32917900;34621500;37526600;32654200;36874800;33026100;32401900;32524500;31229800;31460300;32502200;31535400;31843800;32384400;32746800;31352000
291;33952700;35502700;33617900;36642000;33137100;41292700;37522100;33205400;33454500;32647200;32937300;40289700;34013000;33774500;33002600;36549800;34613500;36115200;33367400;33922000;37477800;32551700;31762400;35049900;31632400
297;28929800;28729100;27901000;27859500;30154700;34022700;30011500;30566200;30484700;28745800;28830300;28169500;27757300;27599500;27665800;28143900;27879000;36834200;34789100;28260500;28497200;32502100;33687700;31047500;31207800
301;23055200;21549000;21315500;22436500;21484800;21398900;21120200;21253000;22199700;25709400;23191800;23539700;22158000;21749700;21722500;21341600;21387700;21776800;23710500;21985400;21955800;21833000;23002300;21785300;21754600
307;34918300;32612700;32070700;32772300;33470200;43479300;38213300;34058700;33805900;39691900;37706800;33925900;33789700;36047200;34243700;34007000;33698100;33517500;33010700;35662500;33375400;32742800;33350100;35775900;35953400
