Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
283;10574300;12203500;11161200;11400100;10196100;8849600;10091100;8318200;10232900;8652900;8455000;8267800;9431800;8940100;10161700;8253900;8999800;8862000;8252600;7979200;8150500;9603800;8762800;9609700;8518300
289;20414000;17010700;17500000;14619900;13451400;13034800;12956700;12888100;12816900;12840500;13134100;13394000;13243200;13934500;14016200;13274500;14084900;14581800;14309100;14389700;13815800;13149300;13600500;13031600;13490300
295;9271500;8875900;8122400;9055700;7952500;8477400;8151600;8303300;7869700;8526100;7865100;10312600;8297100;7988900;9051000;8303600;8932000;8502400;8623300;8161200;8581500;8205900;8993700;8370800;8915400
301;7566600;7516300;5875600;6473000;6505300;6401400;6582400;7613100;6517900;5914900;6353000;6380600;6284400;6272500;6515300;6469200;5806100;5879400;6170900;5927600;6357900;6185600;6436200;5767700;5698300
307;13840700;12100100;13529100;12314600;12657500;12550100;13166300;11860000;12076900;12275100;12229100;12457100;14460900;13553800;14977900;14053100;13928500;13158400;11973400;12210100;12388700;12623200;12156100;12164800;12406000
313;7549400;6527900;6697800;6990700;6364400;6548200;7047200;7672400;8843100;6597400;6511000;7056700;7065500;7898300;6933800;7018900;7998200;6971900;7427100;7166400;7649100;6300100;6700500;6396100;6899900
319;17886500;16179400;16672500;15461400;18867100;15939800;15835600;15696900;16812800;18563700;16820200;16968600;16074000;16383200;17696000;16839400;16500900;17693300;17666000;17180700;18673800;19258600;17906500;16056900;16542600
325;16083000;14783000;15726600;18642000;17238100;16919200;17015500;16953400;19231500;19250700;15974000;16163500;17897300;15729900;18225400;16027600;14852700;14097700;13907500;14754600;14551600;13771400;13956500;14825400;14952400
331;10000600;9181800;8852800;8508600;8588300;9448900;8489300;8508200;8311400;8319200;8307000;8323700;8321800;8991700;9181200;8552400;8375100;8365700;8312100;8271500;8333900;8272200;8672700;9165200;8792200
337;13694300;12655800;12510900;12827900;13109200;12669700;12677300;12456900;13326600;12646500;12730300;12805800;13437500;12667500;12586300;12571200;12617000;12553200;12516500;12828800;13445600;13105800;12839600;12488800;12953000
343;17148000;15971600;19066600;19853300;18811400;23729000;23158400;23604400;16273800;20507000;20028000;26958300;20580400;20478300;16148200;18639300;15773300;15680100;15496300;15915500;15479400;16085200;17407500;16396100;15952400
349;17449000;19025500;18888200;17320600;18751300;16895200;17521100;16301400;16688900;15641900;16839200;17112200;17005100;16931100;16748600;16652600;18644700;20614300;17223000;16534400;16632000;16100100;15926900;17315600;16535400
355;17650300;16459300;20013000;17801600;17242100;19949900;21965000;27299700;22398900;29462000;27149000;22765200;22781500;20536500;23201200;25387400;19256800;19470100;17598700;18101400;18491800;20081600;18286300;18340200;18779400
361;17421800;14648100;11122700;10376000;11762700;10733100;10642800;11715000;10323500;10811200;11829900;10180900;9843000;9853600;10149800;10575000;9726200;10139700;12422700;11626400;9833100;10711600;9671900;9548500;9541100
367;16627100;16985400;16241600;16883200;15899500;16001200;15676800;16350400;16319400;17972600;16054900;16028000;16170900;14745200;25276100;25374800;24313800;28390700;28853300;24719000;24508700;25368000;26242200;24786500;24860200
373;16490400;16181400;16410000;16111600;17828500;19366600;17365300;16446900;16839600;19605300;18947600;20779900;16966200;16989800;17017900;15851700;15338900;20285800;18543500;15553500;15839900;17168800;16754200;15488300;15721900
379;29720300;28336600;28769500;28547200;28728600;30433000;29339800;28113400;32917700;33720900;39837000;34732500;34468700;36935100;34563100;30675700;29170100;30614100;30522700;31412800;32404400;31769700;31653800;29940700;32289700
385;27406100;26370100;24711100;24664500;24166300;30380300;33203400;30603800;30464700;25267900;24885300;24281300;30627800;25064400;25905800;27857300;27418900;29434800;31421300;29518000;26057500;25450900;26787600;25593000;25386300
391;18749200;18649200;18113300;17258300;17434100;16996500;17129100;21826300;24975600;26226600;26342100;21140800;20514100;17146000;17182500;17321500;18680200;20880700;18441800;18310100;18078100;18721300;18905700;18336100;17691100
397;29473700;25262200;24726800;24700300;28130900;26586300;24955000;24301900;24159300;27229100;37674000;25642900;30887000;24917500;24332800;25964200;25052200;24608000;24437500;28025500;25634800;24460900;24562400;27018400;32088700
403;32598400;32438200;30633700;28403200;26806400;26098800;27046100;26830200;28474300;26377300;26200900;29108100;34377700;36394500;36405200;31301800;35512000;29013100;34455800;30781100;27524500;34507600;34468600;34370400;31273700
409;22617500;19532800;19291500;27099300;27517600;36389400;26669200;23140100;20207500;19377100;19508900;19660100;20341600;20388400;20687300;20100400;20505800;20072000;20021800;20245900;19773500;19733000;19624400;23966900;23922600
415;20217500;16901000;16492100;15544900;14417400;15275900;15954900;15874700;16182600;15884400;16376100;15569200;19095800;31889500;20354100;22117600;14643400;16966200;16173700;17299700;14841300;14744500;15941900;14948100;14140000
