Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
133;1651958;1608875;1646334;1650667;1628625;1635542;1632125;1624000;1629292;1630458;1641667;1625875;1641417;1633459;1637000;1671583;1647084;1637375;1631083;1642500;1632041;1648750;1642125;1643083;1640166
133;2105416;2161583;2125125;2121333;2179708;2125208;2131042;2125875;2131750;2108166;2132291;2127333;2140792;2124708;2121708;2128583;2122542;2120250;2121709;2133375;2120750;2135083;2119042;2109750;2131166
135;2183125;2178584;2235542;2194625;2220792;2200875;2193250;2229458;2203917;2201291;2216708;2218041;2209333;2207208;2215041;2198458;2202958;2219375;2226125;2206292;2214917;2203750;2227792;2204875;2222625
135;1164542;1170084;1191584;1171833;1200083;1174292;1175666;1196750;1184292;1196166;1183291;1189125;1201708;1180084;1193375;1178833;1195625;1193000;1182333;1195792;1179917;1183334;1195875;1173834;1186833
137;1864167;1863084;1858333;1864833;1892792;1898750;1909042;1901542;1899584;1913083;1920625;1916583;1931458;1906916;1910750;1921958;1933250;1914042;1921083;1918125;1943333;1922791;1933958;1922000;1917125
137;1557792;1564208;1598041;1574750;1593083;1580125;1567667;1582042;1567917;1598000;1586291;1589375;1580792;1580125;1585459;1599167;1571917;1589792;1582208;1587958;1584459;1571667;1593375;1584875;1585792
139;1546958;1572708;1562833;1555875;1576875;1554875;1569417;1561250;1576084;1571959;1572792;1576125;1576375;1559709;1563125;1559708;1557792;1567792;1568542;1579500;1551417;1568167;1570792;1570416;1570333
139;1424166;1451916;1458083;1481875;1432791;1451333;1456083;1451666;1441416;1451375;1450958;1450750;1455542;1453625;1452583;1452750;1458458;1454333;1453792;1433500;1454916;1447791;1449833;1452625;1453333
141;1499625;1521250;1543750;1504541;1514625;1527750;1520375;1518958;1522500;1519750;1520666;1504666;1522541;1537875;1523250;1519417;1531375;1519041;1519000;1526584;1526333;1520375;1518041;1515125;1530125
141;2303250;2318459;2319250;2315292;2311792;2314833;2315791;2309000;2326292;2310500;2310375;2313333;2314041;2314833;2314416;2313958;2321333;2317250;2310167;2321875;2314209;2316500;2319375;2312375;2317792
