Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
257;8396600;8476100;8676400;9929400;8659300;8505800;8523200;8516200;8295600;8235700;8213400;8051400;9905100;8656600;8648500;9012700;8622600;8456700;8215000;8231600;7928400;8173300;8129600;8071100;8150100
261;6735400;6414800;6833500;6134400;6131600;6130900;6159600;6106600;6052600;6116300;6154100;6113300;6265500;6181800;6443200;6348200;6223100;6382000;6387000;6470300;6341700;6448200;6521700;6466400;6379000
267;9321200;9343600;9185000;9284500;9304100;9226100;9294100;9292000;9331500;9303700;8947000;8952100;9526000;9324100;9449200;9767200;9621400;12011300;10427800;9832100;10567100;10140300;9755900;9873700;9545800
271;6440600;5395900;5454900;5485800;5196500;5268000;5270400;5494600;5394100;5730600;5601200;5495500;5380200;5140600;5415200;5325900;5365700;5558100;5138600;5285600;5078200;5433400;5328900;5434200;5180200
277;9930700;8955300;8612900;9689800;8640700;8786600;8556500;9531400;8895700;8768000;8572200;8882900;8852000;9101200;9082400;9415800;9021400;8515600;8837700;8925700;9171100;8857300;8888800;8590500;8590200
281;11547000;10820700;10454200;10508800;10589600;10360400;10657300;13246300;11264300;10866000;11169700;11368200;11266700;11110500;11562000;11548800;11195100;12064600;11388700;11211900;11636800;11680600;11171600;11304300;11193200
287;9371700;8654000;8610800;8988200;8945500;8666800;8944800;9315300;8898900;9500300;8404500;8294100;8426100;8088400;7918000;8151300;7839400;8032800;7750800;7947800;7728700;8055900;7753300;7879500;7883700
291;10047100;11717000;10159700;9999600;9866000;10316800;9912700;9966200;10330300;10746800;9699900;9861300;10042800;9832200;9392700;9334800;9163200;9250500;9085100;9121300;8941300;9010200;10688100;9290200;9002100
297;8040000;7595400;7438400;7215500;7435400;7178900;7369400;8843000;7272800;7255700;7285500;7259000;7311200;7212600;7246700;7457400;7135700;7126300;7087300;7148400;7091000;7093600;7037800;7087800;7396300
301;8351900;6697900;7812300;6997400;6501100;6664300;7358500;6876600;6771700;6560700;7734300;7152400;6897700;7103600;6737700;6632000;6415600;7223900;6481700;6912600;6660400;6699600;7283700;7065600;6889400
307;11249000;11095100;10810600;11198900;10971200;10734400;11511600;10748800;10738300;11067500;11568100;11478100;10818000;10558800;11536600;11263800;10988700;11428600;11146800;11035500;10995900;10464600;11472100;11106100;10906800
311;9684900;8357700;8510000;8847700;8956800;9572200;8454400;8705200;8620700;8194700;9280300;8513700;8281000;8192500;7767900;9059000;8833800;8819500;8476600;8086300;9058400;8634500;8363000;9102300;8904300
317;8839500;8891600;8905000;8455200;8612700;8848700;9060100;8860900;8597400;8590000;8667600;9052800;8722200;8623200;7942000;7863800;7985200;8167400;7866000;9606300;7904100;8338300;8011100;8085500;8234500
321;10250800;9689500;9761400;9836400;9489800;9660700;9652100;9569400;10028800;9582400;9941600;9395800;9635300;9702700;9670200;9520500;9284800;9525800;9623200;9939700;9438400;10011000;12076100;9803800;9792600
