Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
401;24347100;24515800;24818100;24331100;24642000;24482700;24300100;24350100;24946100;24597200;24653500;26488100;25458800;24878800;25252700;25184600;24212800;24452700;24006600;30576200;28837200;27160500;27060000;25817500;25095000
411;27135600;24916300;24957200;24878300;25776200;24734700;24846600;25945000;24639700;24328700;24724300;25561700;24886100;25353500;24180500;25366900;24715400;27862300;24669700;25135600;24726700;25672500;24952000;25510800;24764900
421;26887300;25405800;24575700;26996700;24582300;24911300;24448400;25232400;24634500;25624000;28598800;25851100;25317000;24899000;24950000;26679300;34721200;34425400;32808000;29198000;28152700;31836200;38089400;45403800;55468800
431;47941800;40047600;35908000;36156400;34727300;36767200;38748000;39528400;38582400;38008700;35330800;38042600;59353800;49205300;40453900;37460800;40073500;40651700;32183700;30293600;35052400;39680100;34355600;30987800;31540000
441;29785300;30849000;29281100;29335900;32132400;31885800;29897900;28475300;33083500;29546400;28574900;30169300;30421600;30360800;30446800;33388600;33049400;31818600;34460400;32063300;31883500;34079600;30541100;29658200;31020500
451;30946600;28587800;28209500;29001600;29319800;31227900;30446700;30275200;33638600;36969800;36925600;38661100;38847700;39349600;38320800;37320200;38192200;36525100;33635500;30424800;34424500;29516400;29860500;33747500;31403000
461;29548500;29140800;29282200;30068300;28852400;30912500;30061200;28941700;28795700;29308000;30534000;29192100;30158000;32256400;31896000;31363300;30984800;31462900;31323600;36046600;33732800;34029300;33785700;32499700;33923100
471;36969400;35286700;33741700;35244900;37599500;33238200;32755000;36119400;36824800;34071800;34035100;35283200;33224700;32836700;33437700;33374800;32944000;33164300;31498300;33528000;30417000;30247700;30645100;31056800;30299000
481;32972000;32365100;31387800;31448400;32019800;39074500;46239300;39189400;38928300;39032100;37571500;41791400;55053400;53743300;43722900;39254700;37501900;40634200;42647300;42208500;41531100;45581100;48834800;45561100;37159300
491;37247800;44865100;46412100;43329800;42085600;43818900;44572600;47013200;45289200;45177900;47186300;50633100;52675300;37399900;35131100;36507600;42227300;42007900;37515500;35599500;36181200;35701900;34653400;35742500;35495900
501;38406900;36704200;37654100;35846700;36684500;37061200;37413100;39977300;37107400;36358500;43161900;53906300;50975200;56905100;48629900;46209900;44177900;42419900;42461900;41567700;42874300;42870400;43411500;40948400;37304600
511;42242900;44811400;42036800;42079000;42280200;43768800;42222600;38503900;36637300;36471300;37995400;35706600;36709500;36840100;39590500;36543500;37600000;45134600;50189000;51224500;50223300;50270400;47744200;44793500;40059400
521;39424100;40385000;40755000;38151800;41713300;37497400;39211900;37418000;38074800;44884900;40902100;40958800;42399800;41661200;41621600;42334800;44977600;44583200;43692700;46010200;42727100;41444500;41041000;41113200;41018400
531;45255100;42943100;42227200;43889300;40080500;40645000;42910500;41472100;47179000;53564800;55188800;47658500;44840500;48871300;60410300;66077000;59074300;63074300;62561100;55695900;52708300;52723200;54214700;52915400;49640800
541;50702400;54064300;66453900;65112000;71866700;54312100;43337000;44748400;45065400;41973500;43254900;45959900;45497800;47720400;48928200;49487700;50901900;50659900;50715900;48192800;46664300;47285000;43955100;43711700;47250000
551;46577500;48393000;47406100;56321600;62275100;52059400;47254500;54866000;67968900;64714400;52743300;53221100;55741600;58777900;48440800;49797200;49162400;46716600;51131900;47374900;44837000;44423900;43818700;49964300;46436100
561;47692700;47530000;47157200;47108300;47214900;45506300;51669200;50352200;46071600;46846700;45665400;47609900;45507700;48381100;46929400;45813100;50654300;44127300;42939000;45040900;44638700;43492100;43356200;42797800;43282700
571;46092400;44232900;44945500;48152000;46143800;49078700;45718700;44511700;47045100;45347500;46289200;44488100;44819300;47471000;45414000;47143800;47288300;46667000;44593700;44415600;44770200;57188700;62724000;53192000;49488700
581;54738200;58662800;54812900;56903500;54644900;55553100;55288000;56166600;47411100;46314900;47589900;50252200;56036300;46675000;45658500;47286200;45952800;45839000;47273600;52682000;48318400;47413500;46715500;48883600;46379800
591;48207200;51443300;47662300;49712900;47875900;47406400;51105000;48001600;47384700;47214700;47589300;47792700;48280400;49108200;49994800;48667900;51150200;47987600;47403900;50295100;48049900;47743000;47484600;48446400;50098400
601;49777500;50994800;50137900;49541800;49417500;49120500;49207700;49261200;49506100;49598400;54831200;51709900;53254900;51744700;50876500;49196600;49172700;48916900;50261400;52997800;51206500;53520100;49990900;49511300;49304800
611;52685600;51042900;50887300;50811800;55326000;51820200;54785100;51105200;52892100;51748100;50897900;52137100;52492500;53640500;51939100;55745200;51902100;51340600;50956800;51212700;51362900;51331500;50777700;54457800;52979400
621;60547800;53567300;56371900;52949900;52939300;52508200;52696800;54477700;53617000;55356100;53064400;52389400;52175700;52248400;52562900;52260800;52665000;61602500;56534700;54791700;54741400;53255500;52363100;52257800;52255700
631;70037700;70595800;60928900;57613500;54190100;53810200;53840100;54553200;53744900;59120700;55554700;58069100;54203300;60850100;62787200;56444700;54461300;54348700;57165800;54157200;57669200;54237300;54362600;54621900;56900300
641;57181400;56156400;60163800;56083700;59887400;55932500;58887900;56775900;55936800;55769300;58387300;56028000;57662700;56405800;55864800;55978300;58221700;56232000;56039800;60216600;57104400;58835400;56411700;58968900;56413600
651;60824100;57632300;57545600;60497000;59152800;58540600;57808900;57953500;60277200;58423400;72879800;67577200;59418300;62327200;57469000;58159300;57542100;58785200;57893300;60476800;57960500;74835400;62530400;57500300;57331200
661;61670700;59801200;59532600;62933900;64519900;60217600;59702200;60236400;59068600;59356900;60403600;62285100;60943400;60950400;58965800;59306800;60039400;59788700;59267800;60677400;61060500;64040900;59540500;60105000;59671600
671;63176500;61541200;66393100;61812500;66059200;60959800;61383100;60749200;61626900;61074300;64412800;64442800;66662300;62335500;61225600;61173300;63587300;61517400;64341300;62648500;67074200;61706800;61182900;60879000;60976700
681;63206900;65110600;67817700;64255900;63002900;62778900;63537700;63349600;63515000;67100500;65414900;64571000;62837400;63289500;62862600;63376900;63260900;63796800;66757100;65149600;64137600;68887700;66140000;64534700;66739200
691;65866900;69526300;65154900;65800500;64816000;64873200;65257800;68484000;68183900;65500100;65282500;66571700;66229500;68579900;66780600;65277700;69273700;64659800;65489300;65340400;64815900;64911500;65522300;66643700;67519800
701;70053600;68628000;75087900;67392300;72270100;71634600;70664900;66492700;67126900;67942800;67129000;67635400;68101700;71648300;66989600;66324800;67080500;67375300;68337600;71501500;69090900;67527600;66409700;66541900;67310800
711;71386400;72593700;71719600;69991700;69899500;71719700;69658700;70686400;72624300;70059800;73294500;68777100;69681100;73293600;70277400;69692700;69372100;73429800;68876000;68691700;68873200;69034900;74620000;71838800;71179100
721;71117600;73475200;71669600;71198300;73698400;77421200;72656400;73561500;71845100;70963700;71152200;77100300;74278700;75938700;70943400;70702000;74531700;72213100;74100000;89247100;82755400;74938600;73115400;72063200;74553500
731;74471400;78474700;74657700;72994300;73785900;73478500;74643700;76897800;75065100;75072200;74006100;76156800;73722900;76741600;78275800;73540400;73370000;73700900;74644700;74181900;73178500;78875800;73123500;73176700;75553100
741;84374300;80066300;80273100;76950100;75982500;74922500;76269300;78931200;76026600;82041500;77006000;79378800;80183500;80734500;80405600;85727400;85223500;85547600;87053400;95686500;85484200;76981500;79471000;75631500;74721100
751;79655900;84808200;82340000;77447800;79459900;83501400;80251500;81250800;83127300;79850600;79343300;78187600;78697300;79623000;80965700;78734500;77010700;76574400;78395100;81221200;78104200;84671700;77580500;82590000;79273800
761;80812700;84327500;84581500;79245500;78514200;78619400;81600200;82480300;84043200;80064100;80677000;80488400;81909000;82799100;83910000;79553800;79154800;78598300;78991900;82319400;82467200;80092500;78470000;78649300;78920400
