Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
2101;702682500;693653200;695665200;677187100;687588900;654614900;652893400;648021900;669525200;649786700;649886700;650436700;645722900;643694100;638409100;652242800;649630800;641925900;656135500;640784200;640134400;697829900;690436800;642421400;652881600
2111;666572400;649180800;659704200;663842600;650468500;655823200;667525300;661246100;657225900;660741700;648848700;654290900;656858100;672071800;663132100;658285200;652387200;653460000;657752700;660153100;655792200;661006000;652878400;651242500;655312700
2121;670177000;669777100;663359800;661753500;677940400;681016600;671447600;665140100;665694600;654075200;668929300;676836700;680403000;746595200;708036600;664412400;709726700;682868800;722390000;714109200;701433500;734806000;785152300;808237600;687155700
2131;697462800;685376800;685396700;716807400;820238600;758294100;749509700;936639500;1266564300;1243108100;865878600;716164700;1041156900;1116202100;1129307300;1197096800;1184213800;1189306900;1199773700;1117769500;1107887800;1101603100;1190682400;1247445500;1276509300
2141;1274925000;1223946400;1178190700;1216090700;1266509700;1309195600;1350136900;1220868700;1195163900;1174274400;1190894500;1156523300;1236668000;999146100;731323500;728033900;715415600;699310400;699646200;685928000;679320000;695873100;672757100;675909900;680226400
2151;697672400;676411300;710353500;717748200;678559300;711286600;1011162800;1181652500;1253482200;1206589000;1189461800;1266152500;1144460100;1237286400;1149970700;1145822800;1157237900;1185496000;1198548800;1191953700;1167193100;1178218100;1168276200;1167586100;1146983700
2161;1216228600;1275444100;1186703000;1167776700;1201372700;1214109200;1266231900;1176242900;1121259800;1173358000;1185755300;1168222100;1123975300;1126032700;1114365400;1122886900;1220406300;1180338400;1194338100;1145066900;1165605000;1195457800;1154913400;1117927900;1133290500
2171;1169971000;1195427400;1174745700;1132576300;1128530300;1122515900;1121088200;1132131800;1121513900;1127200000;1146737900;1139177100;1160509600;1119421100;1125551600;1132163700;1131042000;1161504100;1231162600;1174232700;1143314200;1204181400;1151476000;1154050600;1163315800
2181;1280321900;1194197500;1206551800;1175022500;1256707600;1196301900;1196057000;1207688700;1172611800;1150334600;1153433000;1134662600;1127440800;1136581800;1128254100;1198526100;1181559500;1137682500;1200041200;1174005200;1217590800;1176256700;1277588000;1251045400;1281676400
2191;1262673600;1201033600;1235137800;1209706700;1225317700;1198211800;1161849700;1154578200;1232035900;1191777300;1137011800;1167360100;1206098500;1169969900;1166407600;1163712200;1150012400;1157692500;1149417800;1164366900;1206044900;1147783300;1157828500;1152960500;1149915700
2201;1266932600;1156743900;1152806800;1147045200;1154188600;1152953100;1204348100;1157678200;1195097400;1208409200;1157865800;1181282600;1174753300;1179306000;1180357500;1163115400;1151469200;1211731800;1261834200;1238837500;1153768000;1246114700;1207550900;1263048300;1385186400
2211;1300335500;1135415700;800960000;802720300;850937900;804943000;715683300;721607600;712011900;701151700;710198600;711932000;725164400;762498000;752491200;738853200;719343400;709533600;724757900;732399600;705465100;715115100;726454400;717782500;717950100
2221;750381800;744822100;744354800;720499500;712976000;722456200;764585000;738468500;756502800;814804400;820680600;787412400;760215100;732996300;741566500;735430600;770867000;747632900;765446400;755279400;780417000;780377500;783946500;770551800;766089500
2231;807948700;803090300;765014300;726195700;754893000;766184600;732046300;734371700;734449600;777423100;781288300;808954700;786383200;788355500;736663000;748785100;758470900;801073700;798919000;767615900;828825600;835733300;798485300;776411900;802865100
2241;758261800;740249000;750499100;782199000;787664000;789976200;816585100;797444800;791805000;758905700;737602100;763990600;761213600;755969200;746678900;765798700;743821300;735053700;763671500;737808500;753606200;748871800;764739200;779267300;778875700
2251;878218300;834645600;840202300;877096500;843547300;803463600;787858400;824095900;816790800;858646700;877877000;787714300;782781500;745430600;749016500;746905300;840948400;785779700;744563000;840941900;861906100;859331100;819344100;836332700;760330900
2261;804444600;794977900;773800600;785182900;796981800;842131200;767899500;770380000;864869900;902006100;867974100;835276900;785577700;757183300;800538400;843619300;821811800;830542100;768894500;826490600;792257400;830268000;803502600;799743200;779716300
2271;793877700;757473000;766170300;779553600;788613100;779175600;779768800;763571400;762401500;757725400;752272100;758480700;756829600;757842500;764970800;768794200;777461600;815182200;876599700;853494500;817630700;784490200;782283500;802903300;842587300
2281;840595200;813212300;807408900;785701800;801937900;779923600;803147000;954030500;855152100;890664400;831851200;845545500;835128400;861146200;822834900;857775600;823845700;841204800;861990800;847122200;812638600;855275100;788499800;1400817800;1437575200
2291;1548020800;1516638100;1424076500;1423584000;1574394400;1397224200;1621638700;1396737900;1456668500;1529625500;1382668100;1363300200;1002902800;824993500;1278224500;1423828300;1372506200;1409554200;1371174200;1385235300;1600741300;1453155700;1360921100;1335592100;1357196300
2301;1380352800;1366131700;1359859200;1340550900;1417566000;1354871000;1390761900;1317402200;1316960300;1346158600;1328803300;1420753100;1412819000;1315381400;1412920200;1461613600;1450449600;1471169200;1535871400;1472566400;1515022200;1410552600;1260807000;1345923900;1473026500
2311;1555000200;1522823500;1445895500;1322422600;1501745400;1439514300;1306515300;1463865100;1640571800;1501621700;1555219100;1319687900;1369082400;1373385100;1376431500;1364730900;1324607000;1281418200;1258570700;1376765400;1534294000;1649752400;1491842700;1357027700;1398953000
