Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
1563;174000200;170193400;162901100;161683200;170296000;165030400;163199800;182091100;173410800;164267700;171780100;173429800;167169000;199517500;197640900;176111000;170552400;170686200;168543700;162985400;171159700;182383600;167661500;181383600;176372100;164583200;176484100;170471600;162673800;166385200;167751700;162263900;165101000;167569700;161851900;163122200;168538200;169834800;170773300;179554800;164247500;167484900;180347100;164200200;162417300;169429900;162620100;164378700;167356500;162356000
1561;339389100;333537700;336501700;335888700;325988000;338817900;331429300;331900700;342466300;338191700;337875400;334626400;326542200;339446700;336177600;336178400;335905000;386784900;337873200;329894100;318051100;323594000;333674400;328558700;336026800;340449400;321051800;325599000;322398000;323111900;334485700;333223900;334085000;340340000;339751300;324647800;320397900;323115300;335993300;333488700;334871100;335665700;325419500;326668500;321984200;327526800;334414100;336881600;336104500;329324000
1559;355723900;347593300;337835900;348008900;364979600;335336500;340195400;332889500;337906400;340129700;342597100;338719100;379448500;337323300;329021800;327025400;330205600;351721200;341543100;338501400;335224100;333134400;325797800;332089200;348328100;345913000;337691100;338809400;325710800;331698700;326254400;328492600;348910400;338106500;337012100;355783400;388285400;334691500;337519300;341783400;341337200;338722500;348784900;337842000;344799100;343260500;361561800;334666100;385682100;405974700
1557;356819200;323775700;348753400;346662500;327513200;346215800;330817300;327472100;332905000;327092800;343322000;345039000;329969000;334987500;332798600;329433400;331231900;340701500;351396300;336087200;337643300;332908100;325202100;329259000;331037200;329033700;347686100;337892200;332373800;345582600;352263800;328218700;333811000;351764600;327855200;335251500;329485400;331088600;358667800;337416300;341435900;342835500;367643000;370215300;329347500;326977300;341963800;340571400;334347200;349361400
1555;343068800;327178100;332145200;330073200;334889500;340932400;336995200;350759700;352739000;329903400;332405900;337824000;351518500;336410100;344005600;335970000;328261100;333557900;335328300;342309600;339677900;348878700;333697900;344246100;354887800;347697400;335694300;360351100;347945200;344925700;337816000;336427600;347518800;354826800;343376600;341017000;351851800;355360200;346283600;342174600;345527900;347766000;341106900;352040500;330990500;328883000;327960800;333335700;338243400;348426300
1553;345435000;320456700;333788900;327324500;322328900;324813400;330345600;329227100;333197300;319579100;324045300;323267200;316694200;334797000;340547100;330978700;337363000;330130500;330673800;334849900;338434600;346269400;331673400;330316000;328637900;320311700;338252800;327110600;328777900;347064200;318974100;320542200;319754600;318680900;324538100;337330100;323260700;330601000;334432700;326375700;328053600;323503700;334178600;340706400;338481400;322768200;326724300;325546200;320643600;318237900
1551;253682300;249196100;250888200;251471500;250606400;251723000;254627000;252613900;246708500;294005100;260755200;248040800;250768200;262621200;245886000;246413700;247356400;261831800;249653800;251610100;254600100;255810600;255692800;293641100;288159500;283722000;248354800;243995600;256784800;255513000;252699800;252120100;262852200;246931500;255660200;242024000;244028700;242512400;247169400;261304500;256140500;244555200;254488300;239368300;247719300;237974700;255725500;239771600;245621100;248349000
1549;355884100;332012800;323126900;328898300;332820300;321321500;330526600;333954800;330718000;345072600;334544000;335353800;336484900;337908000;326294500;334160900;332768800;334731200;322137400;334192300;325512800;342400400;327838100;373014100;326427500;330717500;315402000;332092900;334410700;329203800;339593900;332218600;322396100;327201100;317655900;318950200;334956000;339106200;328066300;326742800;328052700;317166600;324027300;320699200;321992400;337991600;337859800;324530600;322232800;321115700
1547;327665700;319366900;321911900;327761600;334928300;322183200;342315700;339366100;319433900;337873400;332329700;331289900;335389600;321115700;317872500;335650700;336133100;331294900;338293900;323923800;318868100;320500900;323017200;322568300;336678800;332000700;327431300;322325000;320323000;318221900;323415800;322419100;336651900;333482100;325531400;320033000;323591600;325406900;338368500;328911200;328698600;329398300;333963700;329910800;332291000;333843100;324202000;335440700;336710300;325715300
1545;343038300;342821200;328743100;337920700;333885100;331813400;381736700;386190400;354730400;333436500;352117500;335408300;327642900;340437600;322354700;321329700;322759900;325330700;340612800;337757800;333089300;326776900;326631800;324750400;318269600;328875900;343597500;324756600;332210000;330390100;330082900;326018100;328626700;328873100;346232500;328759800;332237900;348239700;334105400;332187600;336340100;335772700;337651900;334871200;344279200;323387100;341056600;349336500;327232200;342789600
1543;352358100;334501900;323760200;320380300;314761000;337246200;331107400;317322700;331792600;317665600;318181300;324868400;319265000;337443700;339936700;319921900;323729000;323201100;323214100;323974300;316087300;334770800;336831600;322137600;317005600;316239300;322523200;315705700;325414500;336823500;321613400;331050900;332644300;325770000;330784900;325125000;329326600;347628900;322496600;327048400;325047300;316478500;342747900;348363700;322730000;328098100;326136900;321558900;320043300;319040800
1541;334569700;330649800;330942900;327161400;323559600;325479300;321674600;324037200;340292100;334391900;336729000;334273300;321008900;331197900;336105100;316574100;344491600;330186400;330286800;342428400;338296900;332090100;392773000;323951500;342735800;329555200;331757800;320453700;332765700;342795500;330345300;336752100;337229900;328170700;328279600;329009100;314494000;338884700;338656800;322196000;390356600;333832800;316485800;324444700;320960300;326923500;330179300;320548900;326603600;325036900
1539;197361200;185911600;183315800;185904000;181397300;199090900;213245100;191021400;199132700;186828000;192820700;195009600;194916100;191837100;185689100;183633200;190355500;183323800;186328700;208146400;190899800;194108900;183673400;182525700;197012300;187839100;187133100;204084600;193234500;198407800;203342000;180107100;196013800;198266900;189329100;188716900;180586500;192682800;181744400;180388300;199890500;190689800;185560100;186256700;190446000;197056400;194968200;195059300;220663200;227807900
1537;240397300;224436300;201972500;196855600;207652000;208258600;207164600;217868200;209940900;221487200;202997800;205804000;215639300;199223300;202553700;197003500;200140200;206769700;205223300;211529900;216965500;210656200;202340900;195033100;206109200;197360600;202546000;202972500;196213700;209939800;204003100;209725900;214682000;204787300;206924800;206244800;201928400;199279000;199959100;198333600;204715700;214206300;208944700;212445000;201625800;212305000;203387100;206887000;216015000;211512100
1535;346220500;329494300;331523400;335808100;320847400;321401500;314651400;313107700;340686300;328925100;312677500;339228600;326968300;312483800;328448800;309432000;309418500;329466500;327460600;322679400;316873100;312302400;319803800;319202200;311138100;328160100;324293600;317021400;326375300;315864600;312377300;309701500;312854200;335508800;316604700;317147400;323172700;314080900;309761700;317204100;307106100;330008300;322409200;317129000;321097300;316049500;335503600;322297300;330323900;333435500
1533;210696100;208353200;195503600;199977500;208168400;194773100;191060400;211579100;195923800;202948400;197549800;192922600;211897900;245390700;215078400;200737000;195337200;198847400;192203800;195980500;195693400;196487600;213202100;196951100;200909800;216228900;206043100;204099900;192622800;195028600;210901400;194845800;197992900;201641100;209766700;203479000;200869500;197778200;204033100;194751800;193455300;196625600;198482100;195656200;197529000;191594200;199237400;225208500;215765700;212121400
1531;345264600;332592800;355087800;311810800;324851800;331254000;320056300;328080300;326388600;309759000;343365700;326977700;322767200;323865000;326489000;371370600;386419600;326247300;324457400;321452100;330749800;318687700;326275900;321175400;320170400;313113900;315985500;317107200;324024100;317146300;323879500;320206400;311614600;321779600;319584000;323763000;334885300;330357700;324807700;333384900;314155700;314388000;315821800;322045400;327051800;324132500;323921700;333969600;325554400;322206900
1529;334750000;339210400;326733400;325311200;330494100;317193500;326591700;339335600;323110300;343338200;371205800;384718300;379414500;323053400;318598300;328715300;338721900;326417800;324708800;325562300;316750000;324280000;320124100;331369200;332273600;317894000;325932200;321137200;322075900;318890200;327501900;352335200;338060800;336077800;322871800;314993700;320405800;316284300;320681600;330576700;327566100;327749200;341858300;324741100;327802700;339406300;322364500;329310400;322126500;328884000
1527;327097500;322427200;331466600;322753300;321931900;325984700;317196700;319275000;311591900;311319700;322771600;317928900;324347500;314541100;316338000;311144200;304320900;313941200;310177500;324085500;328195100;306792100;314986000;317432100;319714000;326585000;307764500;311905500;329037900;318284900;315575600;309821800;310570300;306006100;313171500;323529600;322689200;322484100;312754300;321903300;330226600;307705300;326607200;315543100;330612600;325802500;307526800;312515900;310071400;322737600
1525;345812000;321947600;319895500;319965200;317146000;315037500;313777800;323964600;339017600;326009300;325879000;314463300;322300400;315292300;314657300;335782200;333094400;331433600;325205800;309223500;323675000;316631800;318030300;320652500;327555100;329454000;327953300;324140200;329101200;341416700;372450200;325289500;331819600;320367100;326380200;325119800;328715200;334148700;331557700;324323800;325340100;324577400;319332200;317309200;332344800;321647100;329124000;328326900;342513600;319742300
1523;325715200;308495800;317044100;327599400;317174200;324892200;322488300;315029100;314359800;323848100;313408000;329804700;332866200;323375400;318774500;313640600;316481700;314514100;309412100;332950200;323687000;317806900;331585900;322247300;320861200;327623300;334825900;339378700;323098100;325696400;334351300;327994900;326014200;323965700;323804100;326743300;360006500;347919900;368781300;313071700;327327800;327836900;322561000;322587000;318420200;315219000;315275400;307565000;319693200;318368600
1521;331544400;326633700;321595900;352546200;364962100;334711000;317425300;332010900;314086900;327784100;311796600;311970400;319042600;309585000;319697300;326610300;323580100;313557300;329534400;321647300;314748900;325669100;322592100;331067400;325264500;314236700;312003500;322181100;312444400;325215200;323446700;369255600;315806200;309088300;311667900;312236100;308268900;322796600;318506100;312265100;318627700;310870600;308203400;311521000;323726600;323281500;332021600;317405600;318353900;317194000
1519;326870500;309927600;319339200;318622000;318772600;311325900;315982400;313863500;308140700;315744300;315676900;319247800;328856200;322263800;318490400;352040300;316295700;316285500;324165800;334764000;325310900;318116600;312234700;310498100;334797600;327905200;320478100;356980600;324911700;312535100;316232100;306213900;313352200;321145200;324690600;325046000;323817500;328927700;318914600;309764700;321510700;320385200;327998800;322977100;314679600;312266800;311545000;316060000;315463300;325218200
1517;236811300;230850900;214941500;226122000;219903400;238109700;221485100;231690100;247601900;220775700;229446600;213886000;234010100;212191400;226448500;212081900;220228900;223864000;220516000;238392300;217164900;227550800;219760300;225613300;281927300;248711900;268582700;219705200;219149200;236535000;236370300;218580400;225604900;222062400;223198200;218907900;217264000;220987600;219179400;213948100;217321500;224652500;231022300;222008600;218287200;222479600;214123900;222343300;212095800;215072100
1515;328786100;331974400;319989700;319690500;317690300;313711900;317209700;315711600;311043600;315630000;320272300;321953600;333847100;327648400;328429400;325069600;324047000;323958700;325948800;323519200;321053100;325129800;320006100;326419900;340925100;311718600;374623100;341707200;315120800;316712500;311210800;306346500;347160800;318002100;321984800;324484000;306742100;315996100;314549000;314536600;319603300;340479900;317683500;326388900;332770500;308614200;311302600;312683700;335048400;320768700
1513;320216600;310666600;309588200;301730200;312788600;308473900;314705900;317419500;308961600;320245900;338998600;308740900;325639500;313255000;332709100;331198100;312034400;311635900;306446600;319484900;333805100;315730400;310825900;308628900;315226100;316644300;305431900;309841000;307819200;339024400;324719100;311649700;311697300;310503000;308525200;315830600;306157200;333218500;318251300;312711200;310401400;303074400;315429200;309885700;305139300;342706800;312208400;319615900;324808000;312361500
1511;331565100;340081800;355934400;381657100;319449200;326686600;310493200;324957700;330648600;317500200;340674300;322057300;325026700;320223100;318503100;313859700;322636200;316116700;326022500;321181500;309764000;312633500;306440500;316503500;310922800;322647000;329410800;315415700;313840800;325654200;316918600;309846500;312850100;324103200;314365000;323032800;312653800;312929100;314622700;305815900;310725600;326214900;324541900;324518700;310123400;325233800;333108200;312970800;329014700;327109300
1509;195305900;190382200;178310500;180425700;175041300;170953300;174227000;181951600;182929400;178731800;188509700;180649800;178719000;187165700;177968500;174633000;174480400;174430400;178162200;172682800;174958500;178653000;182954600;181793200;195487400;177472600;177157000;179430100;176083900;182381400;174033100;171522200;175719700;171313000;172457000;176307900;173430600;172883500;179969400;177382700;180193300;184818700;176156600;188067700;196297000;175752400;181074400;177642800;190193500;179140400
1507;317872900;307389900;323297700;309272500;310353300;316251300;314233700;331168700;341875800;373178100;321037700;304253700;304297800;311855000;305039000;324433000;305507300;320746000;322016600;309472200;311017400;304442200;298016100;323274400;307450800;307845500;338823500;334410000;305394800;302305100;303398000;303475200;309781300;322156800;306046700;311604300;305434600;317496900;301602300;302385900;309145600;310342000;320122400;306334300;303470800;303968800;298993100;302333600;301675900;315869600
1505;319438600;295512200;305490600;301357000;303524000;297000800;301049000;316707100;310816200;313725800;302228300;298117000;318008500;317395800;300258300;308216400;316904500;357994000;365477800;311409800;288904600;305838000;305207300;312146800;310319500;296742600;298589800;291786600;297862500;299572500;315348600;320909700;297307400;303456400;298655900;299027900;298127400;302142100;298850600;305304900;307518800;309293100;298609100;291455600;296957700;294061200;294392500;300174500;301040400;301707600
1503;316022600;325984200;333981100;304712600;316417600;316379500;308381000;330672900;310967100;308647400;311632600;314851700;325956100;316216700;324540000;314171100;310224400;307542500;302340200;304682000;319714600;326970800;310706800;336699500;307135800;300463300;308520900;305349500;319975000;321976500;303541300;311847200;304344900;301693100;304713500;300594200;320498300;310841500;311385800;321352700;311311700;302607800;307800300;303610400;311608000;335362900;315419200;308222000;307769100;314960600
1501;329660600;311977900;361363000;328346200;310769900;318565900;314709900;300069600;321006800;323032300;299405200;324695600;303671000;308302500;310110700;302627000;309219100;330362100;314899400;326664600;304457600;309548200;303552600;301313200;305149100;315704600;318583700;317277900;323505400;307164300;311022700;310727500;302781200;309523900;311303800;321515300;306319000;324691200;329839100;307720500;318570000;308687200;314182100;318343500;301603500;316440300;317900300;317401900;321500100;312960200
1499;333011800;318194800;316784800;323219600;305772500;312390200;318423700;324337900;309255700;319258600;324936300;299486000;307855600;307478900;310949400;314992600;305305000;314957700;312236300;308044400;312889800;306423500;315536400;321520100;308413600;325094100;305996900;305147900;307873700;308686500;318104700;330473300;317282600;310432300;328078200;327223400;316293400;323952200;310757000;331083700;324486100;308068300;312389100;302024600;321462700;324490300;304181600;373079800;322507900;303989100
1497;206423500;198969900;195416400;208999100;190145000;207347600;203618200;203355600;198955000;197897900;209606700;195605000;196609300;190900000;195824600;197013300;197065600;200036800;202497700;212606400;210456900;195697700;209301500;196533400;200581100;208935100;194936600;200118500;203664200;192757800;202289200;196261400;204731500;198038100;193612300;202168100;196250900;199207300;192698600;192153400;201223800;191690100;194975900;198848300;200854900;204019300;200987200;206915200;207369400;191952400
1495;337948700;312596500;302330700;315622900;323772500;311839500;306489100;315316000;300469900;320419100;312285300;310459900;311722200;305951600;306694800;298821600;301720300;308366600;314612000;322507100;306341300;304408500;305350000;298090100;304847100;302393500;301398900;314276700;304518400;321400600;309526200;301457000;302026600;301789300;300662400;303031400;314576300;308459300;304700700;311942800;328208500;309809300;352079200;369829800;333779000;303825000;304249200;296589600;320186900;320634900
1493;306833600;310278500;302988700;306232800;290254500;299355100;294329700;287440300;308924900;301625700;294304800;348969900;321167800;297786800;287872700;290312300;290053200;315201400;295103300;304377700;292368900;291350400;292069000;284880900;289462600;290785500;299838800;295803200;295124000;295170300;288436200;293459600;291604200;305100900;295684500;309769500;300342700;298490400;306541400;306150300;293485100;314055000;348906800;315622600;302128500;294672700;298610800;298341500;297652100;315869200
1491;319510100;310103500;331482200;353481200;364587800;318819600;292896500;325200500;316660900;299049500;312052500;300090600;299787900;296937400;302238100;303806300;308431500;318237600;302958800;300787800;301820600;303875600;296211100;297973900;309330500;307003300;316525400;310579200;306159200;298635000;296336400;307623100;302443000;317143900;308349500;308199700;305961700;314917600;316914200;307955700;303736800;305153800;307892500;308366100;304900000;300055400;321177300;321253500;312279000;358758500
1489;178250800;162920100;157364600;163815800;166437700;157689700;163860300;165114100;158160900;158592600;176689300;171742500;161653100;176705300;165758700;160087900;176966300;159469000;159061400;167454200;172431100;159034200;161726800;159673700;160249100;164212300;163205100;163273100;180437300;170469000;159677500;181509100;167551600;157040600;165456200;161511300;158584000;164896500;162034400;158479500;160024700;167829700;182097900;167381200;164466500;168336700;163622900;166198000;169406000;161312800
1487;312886900;303549700;300609500;303050700;321808600;304418300;303312700;306585800;304571000;318836500;297528500;320370600;302087700;307328100;314376700;299093400;306492800;299057000;316854900;321806500;296411000;305687100;299009100;296878700;300714600;295613300;302945200;309358400;308258400;303064800;313766300;298882500;302773200;296632700;298562800;312666000;324514700;316972800;309504100;299947500;304242200;295512500;299967500;294449700;318563300;308139100;306710300;313562800;310994800;305477700
1485;192590600;181060600;176805600;177871400;181835400;183980000;181975200;184834000;189788200;179891500;176962500;178346200;177540300;181518300;185219600;174025100;179152900;193210600;176453200;181535800;177864100;175760900;183506300;177547200;177838900;178525300;171667400;174324900;190759300;182792200;191260600;190063000;172649900;182875900;183222800;175388200;177738300;170841900;171966100;177989500;170712200;171791500;180885200;175636900;179280000;184491400;184054400;171459300;185241000;178611500
1483;316036000;303070800;296868500;295014700;296294800;314343000;306553300;301491600;304250000;297783500;299481600;302345200;294234600;314174000;309302300;309701100;305875900;299821800;303945300;296090800;324005900;312179400;302715100;326229900;303418900;301194500;328967900;302796800;324039500;304599600;304689100;341174500;343760700;350412000;297946500;301172500;312025300;312499300;299529900;303515600;299598600;291282700;297465400;296049900;308611900;323382800;297438300;307871300;301348500;295434000
1481;301475900;285175500;294320700;298826200;301859300;297070000;297527700;289646800;286133300;296260000;288734400;292367400;294268500;307896800;291529300;301506500;297905400;311089700;294879200;302400500;296801700;304114300;305013700;293457900;298447900;294396100;293739400;307206500;286441200;340437000;308226200;287233300;288523800;283961900;290463300;286771600;305414300;311038000;296546500;315199600;289350800;289306300;288482500;287238600;298300600;297526500;297954100;302241400;300889500;306631300
1479;330325800;298854800;308241100;312577200;308306000;312545500;304113300;298267200;295834000;304558000;303966100;318139800;309671500;298192500;308850100;312282900;311337900;314344800;306702000;311633900;306495900;308050700;308441400;300719200;296311000;313999800;311185900;299731300;316075300;300541600;300242200;303731700;298916700;315482100;306346600;312202900;311930400;300934100;298998400;294191300;300897500;298084600;300266100;319391900;304582900;309155200;298931300;298515100;298800800;302068000
1477;307139300;311299100;304077100;315231400;313548700;316211500;307945100;310665800;302657100;309910500;304117700;308235200;310666700;291540400;307199400;296655200;306925500;310890800;303188400;319533400;346705500;352883100;298433400;289355100;313842200;305465300;296817100;315468900;292453200;294988400;295120000;291341700;309293800;313118800;300279400;310852800;293893900;296650700;293468400;292982500;297549200;296010000;308978700;303388700;302095400;294865700;290396100;298159500;294250600;315327500
1475;318536200;287677800;301954100;289313600;307362200;298576700;292073700;301105700;298235100;296234900;296801800;293487600;286183800;291396100;300141300;299885400;288892000;307639500;286486900;289845700;295428400;293009100;287259800;281996100;308326800;289739600;292419600;302583300;283268300;292785900;282117400;291340000;293891400;301490500;297538200;292098800;300070300;288518200;286703200;283861800;284793500;292943400;306698800;302235100;303237000;296928200;287074000;284680400;291236000;289845600
1473;214618300;206760100;206081300;195611400;200373100;200149200;201665400;211834700;201523500;211548000;195232300;202739400;211827900;199061200;217919200;213663600;210796300;206974800;196855900;202741800;198349100;206398400;208024200;195074000;205026700;206017300;208230600;244604500;203922400;200111100;200047300;198445000;199131600;197213300;194110200;214619600;213650300;217905600;206602200;199452600;203718200;210430000;194626000;202067800;193638400;198078200;197725900;199074500;216457000;202582100
1471;200617700;181068300;180727200;186427300;185469600;180863500;191984800;180790900;182017900;200744300;179864800;196346600;200585400;186222800;190384800;190572800;207587500;191014000;187023200;217644200;188867700;184578700;189763700;189307800;196080000;189262200;186396400;193684400;189024800;192552500;187914100;200976800;196726400;190342200;188117500;190343400;179715100;208063100;190071100;195334400;216852200;217818100;204368700;230484900;188093300;181980100;179484300;201436500;187327400;181685800
1469;312641800;301966700;291960400;307606100;285151700;292399700;289041800;302212100;295936500;296922300;298744700;290871500;295739600;287711900;287418000;288367200;301932800;296656700;298352100;287240600;296395300;286098900;287498000;290567800;292920100;317883400;291764900;297003000;304212800;302952700;304757800;290594800;304243500;301233000;300901600;302501100;297743500;298271400;294743700;307449300;292838000;294003400;341940400;296770800;288380800;288760500;287606600;290730100;317257400;292727600
1467;293591200;281070100;281455700;270118100;270773100;269906800;267701000;280973100;273921900;294112700;269717500;286798900;267354900;274114300;264908500;268783300;268647000;277957600;271287700;279899000;287435800;280287700;274236300;273866700;269698700;281996200;274631800;282713500;279043800;278185400;273425700;285841000;276406700;276749100;287414600;275561300;291642800;272435600;282078000;270582200;275990000;273931200;307449900;284208800;270108100;295920700;268985100;283185700;264639600;271041700
1465;299235900;287864400;304092700;296779100;295381700;301327900;288609500;287729900;290787600;289532500;300881400;297317900;304329300;304620700;313877100;291576200;288195300;291574600;284382400;303266400;292214600;302284600;306276900;297589700;311543600;295192900;300970100;299302800;297768900;301742300;294885500;297334300;299043600;304363000;302138900;305340200;322491900;308624300;356671600;357603800;295416700;288167000;304291200;304137500;290583500;309608400;287250500;293477900;285403000;289752300
1463;297431300;290619400;306326300;290082000;304291500;294618100;290783700;296006600;298174700;297946600;301755100;296400600;295734000;300087900;287680200;291108100;299886000;288715600;300468300;300802800;304725200;287689900;308505200;300856700;305535800;305083800;295729600;305554000;297606900;303620500;305975000;301023400;308787600;292088000;301831700;304551900;334716000;292155200;288001400;291618400;287502200;291971000;302130000;299591700;302523500;308319200;287025000;287619000;288142400;291555300
1461;300744800;286358000;296464600;290827100;300534800;283917700;281706700;280913800;281490500;285331300;287910800;297257000;287652700;300856700;283913200;284338500;290122600;282592600;296577600;289377700;291999800;284058500;289795800;291576800;293904700;304918900;297677500;297713800;295562900;293534300;288805800;290453000;278744800;297300000;289409900;294814200;290822700;295437800;284665900;280575700;288555500;282227200;291111100;299026300;297953400;290781300;293205300;304163100;281239500;288396800
1459;301582100;283222700;294648600;287655000;291131700;293855500;281792600;284829100;283433000;282156800;287623400;293571700;297682400;278873300;296721500;289671200;294291100;283421300;294196200;300692100;292743900;307567600;284516200;295428100;282751100;311376200;297686200;290384900;307569100;295692200;291913600;291099900;288300100;284791000;286105500;294168700;301860800;291001700;299276000;285183400;282839800;291411500;290855100;286526500;298240100;295428800;286686700;293764400;285785300;280921900
1457;301283600;280951700;291267800;295885900;290159300;290158500;284922000;289953900;284163300;284950700;282866000;291954800;295148400;293900700;301869600;290780600;296499100;301669000;284775100;300722400;288683600;302564600;304258800;289447600;293719400;291967500;292475000;298028100;288223400;303684200;286668600;296526700;286205900;292804500;284727300;281353800;316167600;288109400;293014100;298878000;288709600;282647600;287399300;288923800;284454400;299447500;290934000;292551200;296225600;285579300
1455;293537600;294386700;283940600;292281400;300953400;295586200;296211100;289184500;300425300;282824400;294036400;286658100;296417200;301368500;289261000;302752400;299011300;290991800;296148500;288944900;308718100;299722300;294572600;289903100;287842600;288425700;286781200;290896200;301052500;289209500;303498600;298987300;297583400;292334200;283715100;290827400;284946700;303854000;289670700;289738100;295075300;282105800;291202200;282380000;290832100;289131900;303445100;307511300;289655000;296777700
1453;220898000;215832800;218164900;225743200;212890200;213610100;216006800;218170300;215071500;217094800;216372800;212969500;217180900;207882500;212141200;210308200;212195600;216497300;209503600;227518400;218665500;212471200;216399200;208362000;220822400;229782400;239401100;212772500;220704400;227105800;221049500;222725900;216951000;228048600;213782300;214256400;213768500;210854900;233200700;217776500;228148600;220299700;224750900;217100000;213145500;209131600;214483400;215985400;225707200;214095500
1451;176204100;164995200;167139700;163008900;168990300;164128400;162079800;169230900;159643800;161947000;167405900;162503000;159342300;163114100;168270800;160461100;164928700;178083200;166004200;175388300;175272200;166568100;175471000;169074000;165001000;164679200;204817300;190720100;190038300;188803000;164776400;172202600;174233200;161416800;174907900;166343900;161323900;177191300;172786900;168957600;168005700;174589200;168082900;198304500;197719500;169431900;160195800;177951500;184708700;162221300
1449;195406500;181596400;165234200;173578700;180938300;172425000;173501700;181881400;166898200;178885200;179298000;176263400;187771400;209775200;196586700;211585300;207851900;170803700;164791800;165754400;189915800;173618700;173399200;185938800;168644700;175209000;179114900;167556200;169828500;175328000;166319800;167406800;174882700;170902100;165216600;175319700;171502300;178497000;189015400;170583200;179055600;172420300;166053000;176233900;168841800;173439500;172629300;167234100;172333500;173511900
1447;311029300;297908100;300981500;284500600;287270400;279320400;286126900;281149400;286301600;300368600;295673500;286872600;284026400;303533700;293214200;296041000;308172200;292905800;305283100;289325100;290903300;286553000;278978000;293792200;293502900;294847600;297889700;303453800;284127500;281754800;282847200;285296500;290789500;291287400;288274100;298326600;287004700;298493000;287524200;293768200;282223700;280932300;300644800;288108100;296455500;297968800;286350000;291157400;280657000;291272800
1445;291467900;290700500;284536400;291191400;297254900;296674000;285056700;285188600;280830300;281638400;294681500;287518700;291832000;296644700;303374500;279413900;290558800;284510700;283430900;296529200;279737200;296029600;283574900;284218300;274478300;298967200;286776700;298096300;304741400;277083100;281666600;274953300;280710100;276318400;277471300;288108200;287013400;285943700;285126800;280573400;282783300;277941300;286015200;278612300;299264100;287178800;290224000;286753300;274090200;282381400
1443;288109400;287010100;279669600;298637400;292522500;281147500;300177700;288033100;290966000;279983600;297380300;285839900;294684500;286990000;282059300;293970200;280507300;295890600;289079500;280335400;298175700;293993200;292163100;286127000;275046000;284834200;275295900;290468200;298808400;290222100;295839200;284810700;282390700;278974400;279939200;276280100;291932000;291912600;287765600;293648900;282236800;292271300;276441000;285922100;280216500;302598300;285607600;286834900;290446300;286390800
1441;258683800;251604800;247381300;249987300;252917800;268234000;253346800;262373300;248640900;259269100;252862400;262117300;246905300;257966600;258841000;272409900;256013300;269695000;251305100;256411300;244120000;269078800;267190600;270006700;250139500;279838700;257554800;264043100;246001000;263304400;250386900;250648900;250315800;258235800;257563400;249715000;255787400;243663000;253965600;249204300;265472100;247038600;280108000;249752000;261953600;245446900;256999500;242587100;254173600;241262300
1439;178094200;161172800;162279200;165326200;179035000;168931100;172795300;170869400;165397000;176611700;175405300;175089500;183667300;183058400;165026600;186311100;179683100;163636900;180966500;173810400;166252100;178020300;170531600;168125900;170802000;166714600;168313000;172850500;177252300;168050200;171334000;172920400;176749700;167942100;184109900;183949600;208480800;202368500;176202700;219821000;181151600;160265200;162075900;182951700;168051100;172199700;179289900;166082900;161237700;182554800
1437;289753900;276458000;272134500;282304300;274334700;285599300;284387900;285858000;307630700;275308100;287594000;274965000;277549400;282286700;286301600;285261200;284232500;279994800;289756300;275932300;283429400;279826800;278181600;290099200;284975800;279729400;284918600;285867400;281744100;297834000;287955000;299574200;282276500;290328200;289850700;278755100;282247800;273264500;305260300;276554900;291239500;286594700;284297900;276314800;278511400;278600000;278364100;280283000;288343000;291459400
1435;293099100;283293600;278991400;284029500;272703400;275974100;271851000;280302900;286302600;292915100;278333200;284260600;280080200;274886500;278422100;272807700;290921400;283041300;292485900;276601300;290730700;274158800;275991300;281289600;277800500;282307000;292152600;288902100;282714400;277564200;285509900;281748500;287727600;274680100;287242400;282525400;278531500;289690100;278126600;281740700;271942600;309133600;280774500;283683000;279990800;277392400;277906800;274606000;286656300;279912700
1433;288180400;284091600;285342100;283392700;283399800;281165400;277290600;284462200;276466600;285656200;274494200;289727700;288058200;277765000;281443700;280294200;275521300;279120200;273074400;290029000;281510800;306307500;281099900;281743600;305298500;281983200;284590900;281865000;282959200;286236700;295956000;279753400;283402200;288644500;286957400;286425400;279798300;289253800;286925700;338394900;328804800;304956400;276912300;302838500;300433500;293071300;282135700;282786800;280925500;275399200
1431;289666800;270638400;282482700;281594700;280877600;278646500;278773800;285438600;269807300;278477800;270817800;284145300;278757500;283033300;277000100;290690100;284722000;274740800;280735200;274107000;277835400;284629200;288128200;282937400;284688400;276099200;289012000;284629400;280132200;281348000;291772800;273846600;288931200;273583000;287289500;271998400;298496400;281110000;277492500;289286700;273085400;297969300;277452000;287130700;275653800;274062500;288269600;292666700;290328200;277986700
1429;314974000;274515000;274214500;273158400;278059800;276783200;284032800;279356200;274506800;280162600;281603500;273904900;290629800;269574300;282779500;283375400;287722500;280754700;277596300;275173600;268188900;276435600;271090400;277533800;278090400;288999800;280140900;281045900;284554800;292696600;280353100;279329900;326922200;338769900;289462500;296206100;283856900;274736600;285891300;284297400;290521900;273385100;286303300;276500900;278453800;272200100;274662100;277604300;269532600;288700600
