Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
2071;636974700;649258900;630577300;617797200;619861600;649045600;630625100;618562200;616526600;640856500;635945500;639469500;616994200;657712600;631141200;624293000;629138200;646396100;640055100;619643000;616097400;639634600;640148900;619921900;618543000;634846000;643240900;636265900;615852600;632321100;639837500;619734900;617969000;632339400;638625500;627693600;618658900;628822900;640089300;624917400;613185400;627141100;646981900;642643800;619539500;627808000;641333200;623463100;616644500;623055500
2069;660103000;620352300;612019200;620246700;640239100;621937600;612573500;622687400;661002500;624226400;611268800;613064400;643844300;627243400;613203100;611719100;640669200;629228700;614281600;613341700;633606300;649774100;626068100;633059500;633572900;636505300;609051200;614044000;629618200;632569000;615025000;610655000;628899200;639409000;618433700;615872800;625431600;637761100;624375300;629414900;624208300;638558800;647004600;697913500;627236100;639408300;618512500;616672900;621815200;635131800
2067;627074800;606271200;613719600;635572200;633158800;608233400;633201900;719942700;625771500;628968000;633972200;636938100;621979900;607917000;614910900;636945400;641752400;608037500;607210300;790174100;734715100;691393100;677577700;698148800;673878000;677491300;712497700;683113200;675517300;612485800;635890000;625073400;731128000;666247700;645939400;634618100;657176500;623159600;640296400;625904900;634591100;716280200;777445900;770397800;756396600;777916500;759246400;722480600;703947300;719565500
2065;766162000;778758800;795847100;741266700;742462700;780251600;737795100;693597700;734678500;767242200;735356000;738828100;725215200;730344100;667117700;691582200;784690600;749811200;733468400;819510100;825903400;760271800;726375100;804673400;732673000;704432100;763584100;805281400;755940200;768096800;754713800;745461100;624673600;631824700;618135000;603562600;602446700;618122500;621156200;601636400;607481300;620754200;626914900;612143600;602365000;615878400;629376500;616264900;632759700;613942200
2063;656650000;625613300;613073200;618144900;634820400;619147100;608844400;617802000;639138000;625133300;614829500;613336700;644199700;658387000;626834600;613980900;638391200;630866900;610653000;611252900;633187900;631750200;640175800;620771500;631621900;644471100;613742100;626864700;645684600;1372665900;1070855800;868635100;770552600;777915800;792528200;827151100;852391000;882358200;817913700;846542500;877875500;853616700;850659300;889828100;858313000;893212800;920492300;854980600;864183000;892447800
2061;641892400;559490400;572313600;608284500;562356600;573430500;569855500;635487900;633953500;626516100;649156400;652719100;645738400;629621400;632649300;650878800;643711200;632596700;637586300;602159100;666608700;620709000;497339200;508261600;507345800;515102200;524440500;485463500;505125100;518649700;511916600;514778300;505612300;509705400;519775000;502620900;496844800;493158700;492106900;520218600;515250300;510581800;515769200;499085300;514449300;502680000;490948800;490665600;497803000;521184600
2059;701870800;660089000;673301500;694272000;671700000;663495600;695677300;715130600;659504600;641287500;621512700;622746400;609806300;599214300;606201200;621904300;604820100;596071100;601196400;628315400;612731100;610249000;623192000;635555200;659111400;673873400;657236400;688520800;666182000;655615400;662546300;747768600;669849400;667644500;680473100;689736100;668307800;669173600;718399200;686377700;675271400;666079600;714645600;676346000;651928000;598596200;667284200;615996600;599033000;599109500
2057;637764900;603792100;596630500;607526700;608544800;614173500;590869900;596021400;606705300;643305200;595050300;589098100;602752400;619306300;598085400;590623200;590519900;620950600;608047100;610992500;596450400;609724800;612473700;588493200;588669100;605640000;613920500;597464100;592206300;598991900;618661500;599697800;591384400;596884400;627036400;640205200;591496600;592042500;625567500;616904300;592868500;607271400;608044800;614092200;594940100;593021900;602850500;621112700;605740100;591935600
2055;632840500;639277600;615370000;652749900;613061600;635380400;619265200;607172800;609489200;641229400;620526400;605784800;607163600;632450500;624087600;609786700;627831600;626652700;630264800;632631200;607687700;627697800;628053700;611483600;608338900;620757800;657337400;631839200;629604400;621702600;631684600;618080200;625957800;617680200;634726300;611056400;604906700;633322900;637619000;618544600;606893400;613712000;635944500;618993700;645981000;678843300;703587600;623228500;631178300;634216100
2053;637307100;604143100;594534200;597153000;621508800;613257000;590809900;591001700;610805500;614612200;593233500;592030200;611897800;638600400;599034800;594762400;600773100;624200600;599982600;592763900;593405900;618084500;624112600;594820800;594683800;619156600;617165800;596341300;596901500;635215800;611610000;609732100;597371200;600457100;617796500;600588400;592688500;598545600;622370400;605837300;594893500;594481900;619033400;617374700;617545200;595394900;609405900;609117900;598833900;597666400
2051;615513400;605540600;593518400;584751200;594581500;613530300;597821700;587046400;589929800;617805100;621064200;590648000;589578200;607554800;609630200;586545300;584183400;600293700;612294400;595672300;588343000;591044400;664436300;600128500;590341600;593765800;633117100;601730300;586697500;586962100;612940500;608177900;590663600;586797100;597659000;610826200;593791000;587752500;592022100;614908500;605217600;608629700;587131500;612807000;602992000;586595900;585116600;604047600;607276600;589143400
2049;601208700;598984900;609805100;601440600;586762400;593076700;621197100;617790000;600726600;591730400;610765400;604991900;589677200;708286700;643730800;715286400;727920400;872749000;679608800;676089700;617682500;664221800;635764900;727344800;660083600;813409900;926319400;887782300;828712700;884282400;824658600;648508700;652292000;776031100;795439200;635436400;610032500;614493900;632198300;631531400;615884700;596753900;597743600;624253400;619689200;604822500;692416800;630111500;622079400;597627700
2047;629528200;610392200;611894300;603633800;614627800;610645200;616867900;603304700;608845200;608856600;629639600;607634800;596191800;604363600;631992500;609305700;601998200;595889900;619769400;635693600;595276700;598532000;621166900;624459300;603380200;599274500;614340300;666586700;875822500;594477700;612161400;610526400;602409100;593588100;612257300;638548100;603977300;600324400;626723200;621467300;602187500;596590000;601409700;712936700;768494200;822103100;640222600;602935800;593734600;584212400
2045;619855900;626286500;590239600;585845500;591699400;610694000;625812300;609223500;598181600;615910200;602670900;624439300;601663800;607177300;605401400;590909300;585718900;618962400;609634300;589859100;591132600;592948100;612657600;608098200;588229600;587893800;614845100;596782600;586870500;584959500;600587900;604657200;594756700;602127300;595559100;620632400;597784900;585959800;594660100;611432100;595640900;583964700;590690200;605463000;613305300;590362600;584613800;601326700;613559000;609168500
2043;506288200;493882400;514000200;503058000;498116000;491201800;494394300;512878600;512819500;494988400;492297000;490781200;506197500;511384400;515557700;485566500;486474100;507106100;509329700;513782900;491947800;491425100;516797500;511273300;510327100;514666900;502077300;518721700;569531900;504020400;514424800;492784400;506120000;507108000;498056900;490254600;488288600;504548700;510662300;494299300;488333200;488886100;505854400;512584900;497569100;493238100;505994400;495320700;508302400;501165400
2041;585274900;564782200;612183300;590599700;568390400;562364500;573217600;590175400;577412600;564014300;568971000;599555000;584977500;563984800;561105500;575204500;587408200;571856400;564268900;563416300;589957700;589250900;567946900;563345400;576595100;586439700;579659500;582861500;564033300;592262700;576616000;567950200;563762700;594904400;588721400;571502800;565630800;567403200;590495700;576011100;563897900;563502800;586493800;604577000;580593600;585000900;571423800;588530600;571448000;562514800
2039;601022200;611435800;595053800;584257800;584956600;604214200;605053000;585283400;591123700;614207700;609415400;590916300;582978900;627782000;606663700;597903600;581415700;582101100;601937200;623726000;586327200;586865900;602494000;607489800;593979200;626521400;593193400;609994900;598452000;584247400;586333300;613707800;596205900;582600100;581203600;601622000;606888900;606738600;581451900;594320700;613045100;609138300;580023900;586334000;613881100;597483600;583208600;583370400;604769500;602875000
2037;586298100;568210900;580869200;591305200;574593200;574515100;588896900;597146800;580830800;567936900;567224500;581228000;586783500;570626900;566421100;572266400;588808700;576409900;565783000;567229700;588701400;593957800;587618000;568832600;579311600;592223000;575052600;568143000;568856200;590811500;585614600;564881800;566289500;582317800;605282000;575200000;567729100;570706400;612832300;579528800;566935900;569122100;588807900;591268800;573017500;568956800;571468600;592651900;580483600;567594700
2035;524653100;524677400;539172000;585632800;512452400;508143400;530045300;536937400;533128600;513372500;512519200;551024200;521616200;507833200;507828500;513174400;550828000;520527200;515789100;527892200;517642600;547591200;551490100;510670600;532720300;522937800;530131400;512931500;507050000;505979800;523757700;530658600;514891100;506835800;509556600;540404800;525905300;513151800;507322600;507422500;541614600;529994700;579252600;524199900;509064300;545840500;527877500;507417400;507811600;529552000
2033;633354400;611503300;578196100;581573300;601475000;602016000;582674900;581422500;593596500;600023800;585695200;586230000;586862400;609210500;591497100;579053300;626917700;621846800;596374100;579337200;579669300;596587600;602047400;588310600;581811700;587977000;608399400;586408100;581426800;586850400;607930600;595242000;584669100;600008700;596878200;600874900;582326300;579927100;592542600;604101100;590173100;577236900;593867300;613889000;594309800;583368400;580266100;597961900;606632600;600784100
2031;621724300;609125900;613315200;597506800;586121500;591929700;610945600;596434200;582933100;581577500;613142400;599959700;586565500;593947000;617576900;607854700;584405300;585594100;597077300;610587600;593878500;586243300;589243800;611676100;595410200;586176300;583236300;603748400;604049800;615462900;745746100;755864400;671276900;584263900;581351200;606551700;604049200;582149300;582448600;598237100;605187700;591158200;582510900;592041500;606109100;599706700;603485600;586345300;611118600;602002400
2029;595391000;580837400;596847500;628822400;581970800;580586000;589762300;600631900;585199400;578412600;581964000;610945000;636803500;575414400;578848000;600644000;603655500;579758100;577080200;590239700;603550800;584485800;577611200;583784200;608564000;590903100;578819600;584601100;618686600;600642400;578998800;579626700;592542900;602194000;584440200;580775900;582631100;633158000;629993100;605748300;616244300;646688800;592914500;586274400;598848400;603856800;628611100;582055900;579048700;594878000
2027;625687300;587597300;580958900;586418400;606353400;591707600;580385000;580882500;608158600;619817300;581503500;581566700;598301600;599585600;587491600;582067200;587966300;607916800;592492300;581904100;580454900;607070600;595875400;609797300;716606000;655767300;625517000;690436300;656947600;764963700;792109700;772399400;748270500;759683000;607766700;625637600;600635200;585278400;600247600;772107600;656960300;700359800;597846100;631277300;602549800;652133200;716438900;678734400;604223600;581661900
2025;513636200;527448000;592396700;572207900;553242900;599261700;601992700;590875600;510314000;499961800;603098900;615237700;549171000;558777400;594424700;613331400;533059700;553398400;612299500;650997300;597697200;637058200;598735800;587416900;556764600;515435100;534144700;538724700;530095000;591851400;565554400;725915900;1117169300;1057136000;972497700;1245425200;1027550100;895824000;1013628700;1012162400;1014406300;1009122200;1071009700;973141500;583531600;558907400;616852700;543541400;545022500;664117600
