Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
2101;1471971500;1468459300;1424240100;1365445600;1287729200;1283545800;1365572200;1406477000;1349367500;1417584200;1373206600;1412972900;1347111500;1306293400;1424323600;1410665900;1375714900;1218422400;1355364400;1309852900;1410197300;1261056800;1282273400;1180254600;1397696500;1349173300;1402937800;1236135200;1200576000;1314945900;1225538600;1187652600;1163725700;1166468500;1200687500;1192742200;1192366000;1188697100;1189808200;1364547500;1401646600;1302071800;1309055800;1373456100;1326684500;1364825800;1179930100;1196909900;1168670700;1168855700
2099;1087973000;1064677600;1062077900;1066712800;1064926700;1072954000;1171875300;1167277400;1144678100;1163320500;1332096700;1229241400;1174839000;1209214300;1106403600;1194941500;1076048800;1126040900;1162522400;1150431200;1136834200;1162557500;1095609500;1068913000;1085193000;1070584700;1084446300;1060713700;1066960600;1068561600;1171803100;1212690900;1144411800;1194351200;1146598900;1152408700;1144981000;1162410100;1219062700;1164846900;1161682300;1063811000;1055039800;1052195300;1096051300;1124961100;1176781100;1205644400;1159616400;1233391400
2097;1322939900;1210584800;1274594500;1367607300;1343882000;1345277000;1276930600;1189031100;1193037800;1216472300;1185970100;1218411500;1242678300;1231423700;1303058200;1326769200;1408047300;1265410900;1432455700;1284156100;1362438700;1464264500;1360138300;1358029400;1415849900;1245784300;1321863500;1355209400;1336554900;1422302100;1336338000;1410241500;1259631400;1173205800;1188935000;1202887700;1206320100;1208030600;1221026200;1273795100;1344084900;1285731500;1234205700;1222459300;1224898100;1242069400;1238947000;1242408300;1224144100;1201128300
2095;1231610200;1205220100;1217781900;1198181500;1294917900;1393083900;1277864300;1213507800;1196105500;1238752900;1261976400;1242784900;1297528100;1232631700;1238387000;1267258500;1295592900;1243907800;1192219200;1199448200;1205508400;1209628000;1199625900;1231735900;1207520700;1204053000;1211659800;1303087000;1310015400;1347915000;1404509800;1330429600;1349123100;1314641100;1241168600;1343015500;1282113800;1204321800;1239800900;1294434300;1332246400;1418689000;1449990000;1427017500;1301680600;1329952500;1459938200;1391261200;1402610800;1384241700
2093;647706400;619443400;621046300;613621600;616610000;615473500;612088100;631555200;647073100;614101300;616005800;612058400;612988900;606978600;609110400;614641300;622084600;612466200;621715100;613426200;675052100;703099600;692695100;699559200;714587000;672913200;662862100;684609200;667478700;660806800;653702400;731288700;726238000;744465200;690540700;628265800;649884900;666939400;685333800;649720800;652199600;621194700;663312500;622406100;626100800;629116300;636859900;660745800;639243800;650413400
2091;1297774900;1271736800;1278207900;1313457100;1370022300;1251785700;1259960100;1265040700;1281066000;1240610900;1300065700;1259316100;1231258400;1250037700;1204233500;1204110000;1193837000;1181760600;1199668700;1224866700;1194220800;1190288900;1204616300;1211035600;1184407200;1192226700;1208047300;1189679900;1187462400;1206222300;1203687400;1207510000;1180052000;1191653800;1216315200;1189138500;1196726700;1188826200;1192477800;1213201100;1218565900;1237891800;1224190700;1214272900;1217863800;1237722400;1210698700;1220275200;1230523200;1267363200
2089;1261967700;1222660700;1221014300;1223109500;1286990100;1336778400;1342773900;1284093600;1267131200;1276193400;1255904200;1193591600;1208250100;1198938300;1282192800;1286315300;1415178700;1300891800;1312759000;1244676200;1314872400;1352922100;1277005300;1334674600;1327324900;1236671600;1227356700;1321273100;1240023900;1252089500;1369522500;1314621200;1304477300;1347573200;1353372700;1327459800;1298215700;1322557500;1369132700;1484415500;1397599200;1344387000;1392153700;1369852000;1388284700;1235655800;1200867900;1360839600;1192128200;1183486800
2087;1228003100;1168929900;1180524800;1177896600;1290047300;1277929000;1212920400;1341281100;1321488700;1325996200;1340524600;1287076000;1232454600;1236547800;1169754500;1277910600;1339785300;1262017600;1304395800;1281044000;1205907300;1187142600;1167730700;1171573200;1165669300;1178295300;1205198300;1171680300;1161338600;1168893500;1164189200;1164144800;1169130100;1167957400;1173831700;1169550200;1164617600;1169780200;1170028600;1174816700;1174388800;1209292200;1164965400;1171312200;1189718000;1162248300;1166635600;1170915200;1168190700;1171952500
2085;1340983800;1169564300;1171954000;1166234700;1172756100;1183187200;1244076100;1165647500;1174574500;1338399900;1333490000;1236253800;1164033000;1158027900;1159769400;1163810000;1152200800;1160342600;1205919200;1165499500;1162638600;1178207200;1200795500;1162527000;1161540700;1158523000;1161609800;1177851600;1160221700;1167456900;1167240000;1158318900;1163187100;1157446700;1160744200;1158170300;1167289900;1200176600;1156423300;1159306500;1152890400;1154714400;1163481600;1156866300;1159206800;1156464100;1159513400;1156582800;1159185900;1158458800
