Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
401;53657000;46345400;43777200;42513900;45625400;44762600;41881800;40947000;37619700;36320400;41182400;42322200;43743300;43173100;44267600;40734100;44953000;44821900;41387400;42220100;41704200;43419600;46398400;40770300;40699100
411;42073300;39865900;41363300;39029800;37367100;39448900;42546300;40163700;40021400;42046700;39970400;44581400;42112500;42725600;38697400;41152200;44634600;39699300;39673000;39928200;39041800;40184100;45188200;42143000;44403900
421;44532200;43885400;43741000;43208600;44347500;42143500;45314900;48614800;49198100;46158000;43413100;42613700;45317900;42997900;42563800;39909500;39663000;42639500;44941400;43136300;43909500;42733900;44029300;44017800;42297700
431;41820600;40885300;42773600;48648800;44089900;43532200;41216900;40393200;55222200;47513900;50531200;49495600;48330300;45838900;45419300;46314800;42863000;45453200;44501300;44875300;42153000;42278200;42673400;41604300;43364700
441;43240900;43730500;48807600;48377100;44318900;50059800;59583200;54884500;46283700;49659700;43329200;42920100;46703900;44270800;44514200;44344100;43929000;42782900;42203300;42553200;42654100;43029300;48715100;50629100;59062000
451;52325200;50846200;49451000;44669600;44467500;44466000;50023100;49309500;49019500;45522800;46603000;45163500;43617900;42994600;43484500;43783300;44496400;45123000;47672300;47535300;47474400;52328300;54968700;45454200;51678400
461;48794400;49882100;47451900;51998600;49473600;56344000;57218600;47742500;52107700;47672400;50640600;52457000;48498100;46890800;49269100;48507400;58052500;50641100;48770400;45563100;46437900;46648400;47409900;50897500;46877700
471;48637200;51567500;48867100;50773400;47839000;48510500;49008100;48375300;48486900;49614100;50320100;54262200;50235100;53102700;51635300;51074400;54634800;55453900;54993300;55871200;50747200;51664700;54911200;53915500;48064000
481;50943600;50059900;49988100;57955700;52214700;50636400;51294400;54570300;54516900;50847400;49584100;49948800;49884100;49458600;49825400;54353900;50035900;60566900;56077500;54164100;52581600;54429500;57034200;54523100;53844300
491;54121400;53294600;51700200;55213100;52335300;59563400;53412100;52172400;52637800;52009100;53169100;52550100;54608700;51491700;53345400;61942000;56802400;59303500;60087900;60354100;58196400;61447100;54106500;53185300;59093500
501;61644200;63629200;62604800;58688300;78905000;71648000;57376700;53848900;53505400;60214000;57382600;54672400;63823600;61548500;54143500;54296700;53504000;53636200;64255000;57605700;55438000;54277200;55482300;58121400;55903400
511;57589100;56324900;56822600;56463200;57823600;69093400;62726500;58877800;58194500;58407400;59966400;56786700;59733700;56928000;59032800;60096100;56989400;56918800;57630200;58048500;57829500;56052900;57530400;56314500;56224400
521;59326000;67294600;61393800;58138500;61866900;63622800;60963700;58075400;58504500;58305000;58922600;59266900;65161800;67997200;66654200;64721400;62511300;65576700;66334700;68042500;64765300;62198700;63582500;60696700;64783200
531;62491500;60968000;67436400;63542200;60684100;61436200;61364800;61631900;61784600;61823700;64865400;60745100;61266500;60642100;61571400;60876100;61425800;60239300;63378600;64168300;61561100;60961200;60918000;61110600;61631100
541;65881700;66758000;70053000;66698200;63574200;63558600;63440100;64309300;63776900;63521900;62755800;63103500;63478900;64064500;64731200;63735000;63569300;73760200;70344500;66719800;63296000;63778800;64166000;66240800;69586400
551;69321100;67885700;67376900;66270000;66641800;72416600;70278600;68130700;68144800;66280500;66035500;65714700;68215300;66514100;65645300;65554000;65654200;66628600;65692200;66381300;65976800;73834100;72470200;70801000;71710300
561;70719000;72105600;69052800;68626800;75798200;77689200;74199600;70505800;70052600;76287400;81467400;71307700;70097200;70539400;75624900;74188400;74258100;69252800;72889000;73172100;72391300;69768700;68002200;68209100;67804400
571;71355300;80836300;81224500;74565700;83287800;82362300;77353300;81331100;76701000;77169300;86150300;83309300;80427600;78257900;77529400;79183200;80672900;74848500;74569200;75607100;74125300;71622300;75355200;78414000;77390100
581;83625800;85366500;96812900;88632200;81670100;85348400;85522300;85119300;76212600;74489000;74796500;72964300;72334300;72314800;75278400;75947900;78852700;75166500;73738500;72626600;72653900;74599000;73323900;78962600;74891400
591;81434300;85515100;84264000;79522100;81097500;77307200;76719400;76643400;76883700;76019500;77142600;80078000;79530100;76053900;75793900;76330600;78004600;75939700;75546100;74931100;75908500;78070000;79312300;77713800;77557300
601;83117400;84716700;82114800;83269500;83904900;88276700;86964900;96223300;85764300;86962600;85942700;86444900;79087700;81642500;101462100;88446500;80203300;81625600;78790000;78318300;85493600;86639000;78721900;80109500;79108800
611;81619500;85637100;83200700;81004500;80131100;79558300;81265700;82463700;84330300;81091200;80523800;80495500;80365700;80824400;80362400;79135100;79658500;82141600;81927500;83850100;85677100;78742500;78870300;79209200;80063900
621;84016200;83533600;82783200;83387500;84285700;84505600;88306200;87389000;83271100;83893700;86213200;83580400;87774500;90366100;92628200;92504100;90968800;87214500;84087300;86874400;86374000;93063100;85717800;85519500;84651500
631;86285700;86490200;90566500;93966700;86974000;86835000;85900200;87126900;91494600;94425700;96467600;91946200;91022500;93167000;91383900;92245700;88934700;86669900;86518500;87895900;88394700;88581900;87103700;85211700;86516100
641;90934300;89851000;90170500;90137400;89510200;87984700;88213700;88446100;88716200;87964400;88473100;95963400;88395300;87073100;87019900;89437800;91904400;90671800;88914900;89357900;87565900;88515800;90289800;93546000;93405700
651;95101700;98000900;100239100;94951300;95645200;94402600;94838800;93526000;95142600;94052700;94933900;98365000;98105400;94842900;93386800;93239400;94624400;93855300;105227400;101311900;99097900;96447900;94655000;94736100;93204900
661;105047700;96350500;100734500;97276800;95220600;95155500;99299700;102834400;105012900;109048500;104889100;106117700;108156700;107089100;103184500;104491300;106370700;96159900;96229000;101575000;97072000;108228000;111480100;106828900;101487100
671;107328300;108091700;98547700;116457800;121757200;112816000;119642400;114902900;112717800;115496000;110370900;125792000;115795200;112211700;109571800;110566100;117066300;107500700;111256900;117516300;106593700;101085100;99946900;114004500;100733900
681;103644200;117266700;116268500;110636100;107862600;109611700;103529600;104714700;113944100;113343300;107720100;103615900;106653200;106743200;105957400;105454200;114476900;115413000;116348900;124403600;123062000;123937800;107488400;101093100;113142000
691;108209400;103891600;103088900;105246400;106343800;116899600;115092300;110017900;123562200;107675400;104832900;105831100;107105600;119076300;108479400;105129200;118185500;120587100;115443800;105709200;103163400;103406000;112956100;116336800;105249800
701;108216100;112402600;107088300;107797600;105789000;109912200;108967100;106695000;107132200;107050400;116080900;110969000;106877400;107331700;120458500;113470200;134222100;116143400;111662000;115495700;117966300;114785400;116802300;113250500;112285600
711;121120200;116531200;131080600;114014500;114492000;119423100;121376600;112224500;119287600;113290400;112437600;120714100;118186200;119794700;116002600;112154000;111826000;147333100;121411300;115752900;117168800;137508400;120515300;129767600;130026600
721;129952300;133462900;119033800;124437800;119817700;119316700;117879400;118522800;124002600;120041100;116795600;119745600;118247700;121819800;118745200;118222800;113725100;118782600;119815200;113509600;112028500;115277600;119233200;132402700;136237400
731;128260100;122809400;127824800;134057700;143143700;121634700;118573200;129396100;128052600;131607500;126130200;124646000;122301900;117749300;121879700;121099300;118351800;120418200;116933800;114964200;116017900;124051700;118707400;115663800;115734800
741;128397400;129557400;138858200;138832900;131973200;128216100;128118900;128619200;137850000;131214700;132573800;144396500;133972400;131065700;127446500;124868800;123166900;132260200;136100400;132360300;126633200;152388900;137954000;121632300;123126200
751;136348200;125897600;124350900;129222400;128528600;138593500;135032900;129809200;129231900;129592800;138657700;127602700;134979800;128423400;144025700;135900500;132578000;132550400;130882800;134499700;126564800;122058500;130496300;130991300;131570300
761;133436400;141188800;134395400;130267500;141086600;143028500;142334200;139326200;136335800;131448700;141822700;153202600;133727800;133607900;128151600;131668600;150568200;156553100;138986500;129650300;127991400;128993400;137739900;138278400;136635700
771;134183000;131972800;133061600;137322800;145052600;145730200;132732900;131415300;144081400;137451900;131814300;129955700;147927600;133002700;136817900;129701000;137222200;154857400;150491500;156770700;164118200;154904000;164800200;140947200;133919500
781;150588800;158844700;146833900;148585500;136500000;139373600;133094200;142252800;139690300;133148600;133185300;133563900;137021200;134184300;141777800;140829300;136409600;140924300;156643900;151542500;147186300;144328000;140237300;142804400;152282900
791;171157600;148102100;151201300;156638800;144168200;138415200;143186500;138973000;136652800;137366400;152225900;149803800;135476400;134204300;140829100;146258100;138077400;147520200;140436100;138828000;137158500;138825600;138049100;134934200;143159700
